type,side,price,sl,tp,profit
OPEN,SELL,1.1596,1.1605999999999999,1.1576,
REVERSE,,1.15958,,,0.1999999999990898
OPEN,BUY,1.15958,1.1585800000000002,1.16158,
REVERSE,,1.15957,,,-0.10000000000065512
OPEN,SELL,1.15957,1.1605699999999999,1.15757,
REVERSE,,1.15962,,,-0.5000000000010552
OPEN,BUY,1.15962,1.1586200000000002,1.16162,
REVERSE,,1.15968,,,0.5999999999994898
OPEN,SELL,1.15968,1.16068,1.15768,
REVERSE,,1.15967,,,0.10000000000065512
OPEN,BUY,1.15967,1.15867,1.16167,
REVERSE,,1.15977,,,0.9999999999998899
OPEN,SELL,1.15977,1.1607699999999999,1.15777,
REVERSE,,1.15978,,,-0.10000000000065512
OPEN,BUY,1.15978,1.1587800000000001,1.16178,
REVERSE,,1.15977,,,-0.10000000000065512
OPEN,SELL,1.15977,1.1607699999999999,1.15777,
REVERSE,,1.15979,,,-0.20000000000131024
OPEN,BUY,1.15979,1.1587900000000002,1.16179,
REVERSE,,1.15973,,,-0.6000000000017103
OPEN,SELL,1.15973,1.1607299999999998,1.15773,
REVERSE,,1.15981,,,-0.8000000000008001
OPEN,BUY,1.15981,1.1588100000000001,1.16181,
REVERSE,,1.15987,,,0.5999999999994898
OPEN,SELL,1.15987,1.1608699999999998,1.15787,
REVERSE,,1.15981,,,0.5999999999994898
OPEN,BUY,1.15981,1.1588100000000001,1.16181,
REVERSE,,1.15993,,,1.1999999999989797
OPEN,SELL,1.15993,1.1609299999999998,1.15793,
REVERSE,,1.15991,,,0.1999999999990898
OPEN,BUY,1.15991,1.15891,1.16191,
REVERSE,,1.15988,,,-0.2999999999997449
OPEN,SELL,1.15988,1.16088,1.15788,
REVERSE,,1.15992,,,-0.40000000000040004
OPEN,BUY,1.15992,1.1589200000000002,1.16192,
REVERSE,,1.15994,,,0.1999999999990898
OPEN,SELL,1.15994,1.1609399999999999,1.15794,
REVERSE,,1.15987,,,0.700000000000145
OPEN,BUY,1.15987,1.15887,1.16187,
REVERSE,,1.1598,,,-0.700000000000145
OPEN,SELL,1.1598,1.1607999999999998,1.1578,
REVERSE,,1.1598,,,-0.0
OPEN,BUY,1.1598,1.1588,1.1618,
REVERSE,,1.1598,,,0.0
OPEN,SELL,1.1598,1.1607999999999998,1.1578,
REVERSE,,1.1598600000000001,,,-0.6000000000017103
OPEN,BUY,1.1598600000000001,1.1588600000000002,1.1618600000000001,
REVERSE,,1.15974,,,-1.2000000000012
OPEN,SELL,1.15974,1.1607399999999999,1.15774,
REVERSE,,1.15983,,,-0.8999999999992347
OPEN,BUY,1.15983,1.15883,1.16183,
REVERSE,,1.1598600000000001,,,0.30000000000196536
OPEN,SELL,1.1598600000000001,1.16086,1.1578600000000001,
REVERSE,,1.15988,,,-0.1999999999990898
OPEN,BUY,1.15988,1.1588800000000001,1.16188,
REVERSE,,1.15992,,,0.40000000000040004
OPEN,SELL,1.15992,1.16092,1.15792,
