type,side,price,sl,tp,profit
TRAIL_SL,,1.1631900000000002,,,-77.99999999997809
OPEN,BUY,1.1634,1.1624,1.1654,
REVERSE,,1.16417,,,76.99999999999375
OPEN,SELL,1.16417,1.1651699999999998,1.16217,
TRAIL_SL,,1.1650399999999999,,,-86.99999999999264
OPEN,SELL,1.16502,1.1660199999999998,1.16302,
TRAIL_SL,,1.16549,,,-46.999999999997044
OPEN,SELL,1.16547,1.16647,1.16347,
TRAIL_SL,,1.16637,,,-89.99999999999008
OPEN,SELL,1.16639,1.16739,1.16439,
REVERSE,,1.16587,,,52.000000000007596
OPEN,BUY,1.16587,1.16487,1.16787,
REVERSE,,1.16584,,,-2.999999999997449
OPEN,SELL,1.16584,1.1668399999999999,1.16384,
REVERSE,,1.16539,,,45.000000000006146
OPEN,BUY,1.16539,1.16439,1.16739,
REVERSE,,1.16497,,,-41.99999999998649
OPEN,SELL,1.16497,1.16597,1.16297,
TRAIL_SL,,1.16461,,,36.0000000000138
OPEN,BUY,1.16425,1.1632500000000001,1.16625,
TRAIL_SL,,1.16412,,,-12.999999999996348
OPEN,BUY,1.16473,1.1637300000000002,1.16673,
TRAIL_SL,,1.1637700000000002,,,-95.999999999985
OPEN,BUY,1.16392,1.1629200000000002,1.16592,
TRAIL_SL,,1.16365,,,-26.999999999999247
OPEN,BUY,1.16106,1.16006,1.16306,
TRAIL_SL,,1.1608100000000001,,,-24.999999999986144
OPEN,BUY,1.16051,1.15951,1.16251,
SL,,1.15951,,,-99.99999999998899
OPEN,BUY,1.15896,1.15796,1.16096,
TRAIL_SL,,1.15847,,,-48.99999999998794
OPEN,BUY,1.15806,1.1570600000000002,1.16006,
TRAIL_SL,,1.15815,,,8.999999999992347
OPEN,BUY,1.15792,1.1569200000000002,1.15992,
REVERSE,,1.15901,,,109.00000000000354
OPEN,SELL,1.15901,1.16001,1.15701,
TRAIL_SL,,1.1599499999999998,,,-93.99999999997189
OPEN,SELL,1.16018,1.1611799999999999,1.15818,
REVERSE,,1.16015,,,2.999999999997449
OPEN,BUY,1.16015,1.1591500000000001,1.16215,
REVERSE,,1.1602999999999999,,,14.999999999987246
OPEN,SELL,1.1602999999999999,1.1612999999999998,1.1582999999999999,
REVERSE,,1.16024,,,5.999999999994898
OPEN,BUY,1.16024,1.15924,1.16224,
REVERSE,,1.16079,,,55.000000000005045
OPEN,SELL,1.16079,1.1617899999999999,1.15879,
REVERSE,,1.16112,,,-32.999999999994145
OPEN,BUY,1.16112,1.16012,1.16312,
REVERSE,,1.16138,,,26.0000000000149
OPEN,SELL,1.16138,1.16238,1.15938,
REVERSE,,1.16136,,,2.0000000000131024
OPEN,BUY,1.16136,1.16036,1.16336,
REVERSE,,1.1618,,,43.999999999999595
OPEN,SELL,1.1618,1.1627999999999998,1.1598,
REVERSE,,1.1614,,,39.999999999995595
OPEN,BUY,1.1614,1.1604,1.1634,
REVERSE,,1.16145,,,5.000000000010552
OPEN,SELL,1.16145,1.16245,1.15945,
TRAIL_SL,,1.1623199999999998,,,-86.99999999997044
OPEN,SELL,1.16246,1.16346,1.16046,
TRAIL_SL,,1.16339,,,-92.99999999998754
OPEN,SELL,1.16322,1.1642199999999998,1.16122,
REVERSE,,1.16277,,,44.99999999998394
OPEN,BUY,1.16277,1.1617700000000002,1.16477,
REVERSE,,1.16304,,,26.999999999999247
OPEN,SELL,1.16304,1.16404,1.16104,
REVERSE,,1.16214,,,90.00000000001229
OPEN,BUY,1.16214,1.16114,1.16414,
TRAIL_SL,,1.16154,,,-59.99999999999339
OPEN,BUY,1.1615199999999999,1.16052,1.1635199999999999,
REVERSE,,1.16194,,,42.0000000000087
OPEN,SELL,1.16194,1.1629399999999999,1.15994,
REVERSE,,1.16122,,,72.0000000000054
OPEN,BUY,1.16122,1.16022,1.16322,
TRAIL_SL,,1.16104,,,-17.999999999984695
OPEN,BUY,1.16103,1.1600300000000001,1.16303,
REVERSE,,1.1615199999999999,,,48.99999999998794
OPEN,SELL,1.1615199999999999,1.1625199999999998,1.1595199999999999,
TRAIL_SL,,1.16234,,,-82.00000000000429
OPEN,SELL,1.16233,1.16333,1.16033,
REVERSE,,1.16188,,,45.000000000006146
OPEN,BUY,1.16188,1.1608800000000001,1.16388,
TRAIL_SL,,1.1611,,,-78.00000000000028
OPEN,BUY,1.1610800000000001,1.1600800000000002,1.1630800000000001,
REVERSE,,1.16107,,,-1.0000000000065512
OPEN,SELL,1.16107,1.16207,1.15907,
REVERSE,,1.16045,,,62.000000000006494
OPEN,BUY,1.16045,1.15945,1.16245,
TRAIL_SL,,1.15948,,,-96.99999999999153
OPEN,BUY,1.1595,1.1585,1.1615,
TRAIL_SL,,1.1585800000000002,,,-91.99999999998099
OPEN,BUY,1.15816,1.1571600000000002,1.16016,
TRAIL_SL,,1.15731,,,-85.00000000000173
OPEN,BUY,1.15553,1.15453,1.15753,
TRAIL_SL,,1.1547200000000002,,,-80.99999999997553
OPEN,SELL,1.15645,1.1574499999999999,1.15445,
TRAIL_SL,,1.1573399999999998,,,-88.99999999998354
OPEN,SELL,1.15726,1.1582599999999998,1.15526,
TRAIL_SL,,1.1576799999999998,,,-41.99999999998649
OPEN,SELL,1.1583700000000001,1.15937,1.1563700000000001,
REVERSE,,1.15722,,,115.00000000002063
OPEN,BUY,1.15722,1.15622,1.15922,
REVERSE,,1.15754,,,32.0000000000098
OPEN,SELL,1.15754,1.15854,1.15554,
REVERSE,,1.15703,,,51.000000000001044
OPEN,BUY,1.15703,1.1560300000000001,1.15903,
SL,,1.1560300000000001,,,-99.99999999998899
OPEN,BUY,1.15607,1.15507,1.15807,
REVERSE,,1.1565699999999999,,,49.99999999999449
OPEN,SELL,1.1565699999999999,1.1575699999999998,1.1545699999999999,
REVERSE,,1.15645,,,11.999999999989797
OPEN,BUY,1.15645,1.15545,1.15845,
REVERSE,,1.15669,,,24.000000000001798
OPEN,SELL,1.15669,1.1576899999999999,1.15469,
REVERSE,,1.15683,,,-14.000000000002899
OPEN,BUY,1.15683,1.1558300000000001,1.15883,
REVERSE,,1.15711,,,28.000000000005798
OPEN,SELL,1.15711,1.15811,1.15511,
REVERSE,,1.1566,,,51.000000000001044
OPEN,BUY,1.1566,1.1556000000000002,1.1586,
REVERSE,,1.15643,,,-17.000000000000348
OPEN,SELL,1.15643,1.15743,1.15443,
REVERSE,,1.15631,,,12.000000000012001
OPEN,BUY,1.15631,1.15531,1.15831,
REVERSE,,1.15667,,,36.0000000000138
OPEN,SELL,1.15667,1.15767,1.15467,
REVERSE,,1.15647,,,19.999999999997797
OPEN,BUY,1.15647,1.1554700000000002,1.15847,
REVERSE,,1.15676,,,28.999999999990145
OPEN,SELL,1.15676,1.15776,1.15476,
REVERSE,,1.15661,,,15.00000000000945
OPEN,BUY,1.15661,1.15561,1.15861,
REVERSE,,1.15673,,,12.000000000012001
OPEN,SELL,1.15673,1.15773,1.15473,
REVERSE,,1.15674,,,-1.0000000000065512
OPEN,BUY,1.15674,1.1557400000000002,1.15874,
