type,side,price,sl,tp,profit
REVERSE,,1.16553,,,-1.0000000000065512
OPEN,BUY,1.16553,1.16453,1.16753,
REVERSE,,1.16553,,,0.0
OPEN,SELL,1.16553,1.1665299999999998,1.16353,
REVERSE,,1.16559,,,-5.999999999994898
OPEN,BUY,1.16559,1.16459,1.16759,
REVERSE,,1.1662,,,60.99999999999994
OPEN,SELL,1.1662,1.1671999999999998,1.1642,
REVERSE,,1.16641,,,-21.00000000000435
OPEN,BUY,1.16641,1.16541,1.16841,
REVERSE,,1.16643,,,2.0000000000131024
OPEN,SELL,1.16643,1.16743,1.16443,
REVERSE,,1.16665,,,-21.999999999988695
OPEN,BUY,1.16665,1.16565,1.16865,
REVERSE,,1.16638,,,-26.999999999999247
OPEN,SELL,1.16638,1.1673799999999999,1.16438,
REVERSE,,1.16639,,,-1.0000000000065512
OPEN,BUY,1.16639,1.1653900000000001,1.16839,
REVERSE,,1.1663000000000001,,,-8.999999999992347
OPEN,SELL,1.1663000000000001,1.1673,1.1643000000000001,
REVERSE,,1.16554,,,76.0000000000094
OPEN,BUY,1.16554,1.1645400000000001,1.16754,
REVERSE,,1.16553,,,-1.0000000000065512
OPEN,SELL,1.16553,1.1665299999999998,1.16353,
REVERSE,,1.16561,,,-8.000000000008
OPEN,BUY,1.16561,1.1646100000000001,1.16761,
REVERSE,,1.16523,,,-38.0000000000047
OPEN,SELL,1.16523,1.1662299999999999,1.16323,
REVERSE,,1.16567,,,-43.999999999999595
OPEN,BUY,1.16567,1.16467,1.16767,
REVERSE,,1.1656900000000001,,,2.0000000000131024
OPEN,SELL,1.1656900000000001,1.16669,1.1636900000000001,
TRAIL_SL,,1.1654799999999998,,,21.000000000026553
OPEN,BUY,1.16549,1.16449,1.16749,
REVERSE,,1.16557,,,8.000000000008
OPEN,SELL,1.16557,1.1665699999999999,1.16357,
REVERSE,,1.16568,,,-11.00000000000545
OPEN,BUY,1.16568,1.1646800000000002,1.16768,
REVERSE,,1.16605,,,36.999999999998145
OPEN,SELL,1.16605,1.16705,1.16405,
REVERSE,,1.16575,,,29.999999999996696
OPEN,BUY,1.16575,1.1647500000000002,1.16775,
REVERSE,,1.16528,,,-46.999999999997044
OPEN,SELL,1.16528,1.16628,1.16328,
TP,,1.16328,,,200.00000000000017
OPEN,BUY,1.16334,1.1623400000000002,1.16534,
TP,,1.16534,,,200.00000000000017
OPEN,SELL,1.16585,1.16685,1.16385,
REVERSE,,1.16581,,,4.000000000004
OPEN,BUY,1.16581,1.1648100000000001,1.16781,
REVERSE,,1.16587,,,5.999999999994898
OPEN,SELL,1.16587,1.1668699999999999,1.16387,
REVERSE,,1.16586,,,1.0000000000065512
OPEN,BUY,1.16586,1.16486,1.16786,
REVERSE,,1.16578,,,-7.999999999985796
OPEN,SELL,1.16578,1.16678,1.16378,
REVERSE,,1.16577,,,1.0000000000065512
OPEN,BUY,1.16577,1.16477,1.16777,
REVERSE,,1.16573,,,-4.000000000004
OPEN,SELL,1.16573,1.1667299999999998,1.16373,
REVERSE,,1.16593,,,-19.999999999997797
OPEN,BUY,1.16593,1.16493,1.16793,
REVERSE,,1.1658,,,-12.999999999996348
OPEN,SELL,1.1658,1.1667999999999998,1.1638,
REVERSE,,1.16589,,,-9.000000000014552
OPEN,BUY,1.16589,1.1648900000000002,1.16789,
REVERSE,,1.1656,,,-29.00000000001235
OPEN,SELL,1.1656,1.1665999999999999,1.1636,
REVERSE,,1.16615,,,-55.000000000005045
OPEN,BUY,1.16615,1.1651500000000001,1.16815,
REVERSE,,1.1661,,,-5.000000000010552
OPEN,SELL,1.1661,1.1670999999999998,1.1641,
REVERSE,,1.16647,,,-36.999999999998145
OPEN,BUY,1.16647,1.16547,1.16847,
REVERSE,,1.16643,,,-3.999999999981796
OPEN,SELL,1.16643,1.16743,1.16443,
REVERSE,,1.16594,,,49.00000000001015
OPEN,BUY,1.16594,1.16494,1.16794,
REVERSE,,1.16618,,,24.000000000001798
OPEN,SELL,1.16618,1.1671799999999999,1.16418,
REVERSE,,1.1655,,,68.00000000000139
OPEN,BUY,1.1655,1.1645,1.1675,
REVERSE,,1.16538,,,-11.999999999989797
OPEN,SELL,1.16538,1.16638,1.16338,
REVERSE,,1.1653,,,8.000000000008
OPEN,BUY,1.1653,1.1643000000000001,1.1673,
REVERSE,,1.16526,,,-4.000000000004
OPEN,SELL,1.16526,1.1662599999999999,1.16326,
REVERSE,,1.16513,,,12.999999999996348
OPEN,BUY,1.16513,1.16413,1.16713,
REVERSE,,1.16513,,,0.0
